Cognate_ID	Ak	Ar	Aw	Gv	Ju	Ka	Kt	Ku	Ma	Me	Mu	Mw	Pg	Pt	Pu	Sa	Su	Ta	Tu	Uk	Wa	Xi	Zo
100_name	e t	dz é/e t	e t	dz é/e t	z á/a	c e t	s a t	b í/i t e t	e t	e t	p ə t é/e t	h e t	t e ɾ a	e ɾ	t e t	z é/e t	ɮ é/e t	e t	e t	h e ɾ	n d e t	j a	z é/e t
10_many		k a k óó/oː	ʔ ɨ t o t o	g ó/o l ó/o á/a	i tʃ í/i b ɨ	p a ʔ p i k t e m	p i t a t	tʃ ĩ n	k a l e j õ	o b aː t	á/a d é/e	k a h a t o	h e t a	e ʔ ɨ i		d éé/eː t	ʃ á/a m e + õ	h ɨ ŋ a	k a ɾ a t o	h e t a	p i t e	t u b ɨ	g ó/o l ó/o á/a
11_one	k ɨ t e	m ṍṍ/õː t	m o m o ʐ o ts u	m ó/o ò/o j	m e m é/e h i n a k u	k o t ĩ ɾ e m	m ĩ h ĩ n t	d á/a	e ɾ e k ɨ t	k i ts e	p ə̃́/ə̃ ŋ	w ẽ t u p	p e t e ĩ	o j i p é/e j i	m õ m	m ṍṍ/õː t	m áá/aː j	ã t j e p e	k i e	p e t e ĩ	k i e t	m e m e h i n a k u	m ó/o ò/o j
12_two	t ɨ ɾ ɨ	b o s a	m o k õ j	p a á/a j a k í/i ì/i p	j a u d a	c a g á/a ɾ o + k õ m n e m	s ɨ p õ m p	p o ɾ a k ã	e ɾ e ʔ a	t ɨ ɾ ɨ + ẽ p	ʃ é/e p ʃ é/e p	t ɨː p ɨ	m o k õ j	m o k õ ɲ	β e w a p		m ĩ́/ĩ j a k á/a b ɨ t	m o k õ j	h ɨ ɾ ɨ	m o k õ j	n d ɨ ɾ ɨ t	b ɨ d a	b ó/o s aː t
13_big	a tʃ o	p óó/oː j	w a t u	p ó/o ò/o j	u ɾ á/a h u	c ú/u	t ɨː	a d o ɾ e	tʃ a t o	a ts o	b o ŋ	w a t o	g w a s u	e h ã i	h u	p óó/oː j	p óó/oː j	o w e t e o	e ɾ aː t	t i h a	a k a ɾ a	u ɾ a h u	p ó/o ò/o j
14_long	p e ɾ e k	a t íí/iː t	p u k u	a t ó/o ò/o	a n á/a ú/u h u	c á/a ɾ a ɾ e m	h o ɾ o w a	t a b i ŋ ʔ õ m	k ã ɾ ã ŋ	p e ɾ e k	p é/e ɾ é/e n	ʔ ɨ w o p	p u k u	p u k u	t ɨ w a	a t o	a t ó/o a	p o k o	t ãː n	p u k u	k ã m	n a u h u	a t ó/o ò/o
15_small	t i n	ã c ĩː t	m a ts ũ ʔ j ɨ t	c í/i c i í/i t	ʃ ĩ́/ĩ ʃ ĩ	ʔ ĩ t t e m	ʔ ĩ n ã	ĩ p i t	ʔ ɨ ɾ u i + iː	s ĩː t	p ĩ́/ĩ t m a	k u ɾ iː n	m i ʃ i	ʃ u ʔ i	ʃ i n ĩ n ĩ	ʃ ĩː t	ʃ ĩː n	ã h ɨ t	s i n	t a ʔ ɨ ɾ + m i	n ĩ n	ʃ ĩ ʃ ĩ	c i ʃ ĩː t
16_woman	a ɾ a m i ɾ a	β ã dz e t	k u j ã	β ã dz e t	i í/i dʒ a	m a ʔ p ə j	e j + p a t	a o	a ɾ ã p ĩ j ã	a ɾ a m i ɾ a	a j á/a tʃ á/a t	h a ɾ ɨ p o ɾ i a	k u ɲ a	k u ɲ a	p a k o j a	β ã z e t	β á/a ɬ e t	k o t j ɨ	a ɾ a m i ɾ ã	k ũ j ã	ã ɾ ã m ĩ ɾ ã	s i dʒ a	β ã z e t
17_man	n a k u	β oː j	a ɨ t e	ô/o ò/o j	s e n á/a h í/i	m a ʔ w ɨ t	o t a	t e ʔ i n	n ã k o β o t	n a k o p	a ŋ ó/o k á/a t k á/a t		k u i m b a ʔ e	a k w a i m b e ʔ e	a b ɨ t ʔ a j	β í/i j	oː j		o k i o	s a w a ʔ e	ŋ g w a j t k ɨ p	s e n a p ɨ	β ɨ j
18_person	a o tʃ e	p ã d e ɾ e	m õ ʔ a t	p a d e ɾ è/e	d u b i á/a	i ʔ t ə	p ɨ e s o		k i t e ʔ	a o s e		m iː t	a v a	a h e	d e d e	p ã d eː t	p a í/i t eː ɾ	ã w ã	k i ɾ e	a w a	a o t e + n ã	t a n a	p ã d e ɾ e
