Cognate_ID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
100_cloudmistfog		s + t yː	t ɔ ŋ + t i~ej/i	ʂ + t yː	s y ŋ + t yː	s y n + t yː	ts~s/s ə + t yː	s i n + t yː~iː/iː
101_cockroach			tɕʰ i k + d u ŋ		pʰ yː + tɕʰ u + l u ŋ	b a + tɕʰ u + ɹ u ŋ	b ə + tɕʰ u + l u ŋ	b u + tɕʰ u + l u ŋ
102_cold	ɔ + ts ɛ n	a + tɕ ɛ n	ɔ + ts ɛ n	a + ts ɛ n	a + tɕ a n	a + tɕ ɛ n	a + tɕʰ a n	
103_coldvi	l a m	r a n	l a m	r a n	r a m	r a m	r ɛ ŋ	
104_comb	t a s	n ɐ̃	t a s	n ɐ̃	n ɔ̃	n ɔ̃	n ɔ̃	n ɔ̃
105_come	l ɔ n	u	u n	u	u n	u n	r a m	r a m
106_comparativedegree	ɕ ɔ k	s ɔ k	ɕ ɔ k		s ɔ k	s ɔ k		
107_cook	d ɔ ŋ	tʰ y ŋ	d ɔ ŋ	tʰ y ŋ		r u ŋ	r u ŋ	tʰ u ŋ
108_copulaexistential	b eˀ	b ɛˀ	b e	b ɛˀ	b ɛˀ	b ɛˀ	b a	b a
109_copulanegative	b ɔ + j u	b y + yː	b a + j u	b y + yː	b y + yː		b y + yː~iː/yː	b i + iː
10_after	l a + kʰ u ŋ		l a + kʰ u ŋ	l a + kʰ y ŋ		l a + kʰ y ŋ	d ə + kʰ y ŋ	
110_corpse	r ɔː	r ɔː	l ɔː~u/ɔː	r ɔː	r ɔː	r oː	r au	r au
111_cotton	k a m + b ɛi + b u	h ɐ m + pʰ ɐ		x ɐ m + pʰ ɐ	h a m + pʰ l ɔ	h a ŋ + pʰ + g ɔ	h ɐ ŋ + pʰ w ɔ	k a m + b a
112_coughvi	tsʰ u		tsʰ u	tsʰ yː	tɕʰ yː	tɕʰ yː	tɕʰ yː	
