ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
MoroccanArabic-1_all-1-1,MoroccanArabic-1_all-1,koll,all,False,expert,Ratcliffe2021,,,
Maltese-1_all-1-1,Maltese-1_all-1,Koll_u,all,False,expert,Ratcliffe2021,,,
Cairene-1_all-1-1,Cairene-1_all-1,kull,all,False,expert,Ratcliffe2021,,,
Damascene-1_all-1-1,Damascene-1_all-1,kəll,all,False,expert,Ratcliffe2021,,,
Iraqi-1_all-1-1,Iraqi-1_all-1,kull,all,False,expert,Ratcliffe2021,,,
Soukhne-1_all-1-1,Soukhne-1_all-1,ʧill,all,False,expert,Ratcliffe2021,,,
AqraArbilArabic-1_all-1-1,AqraArbilArabic-1_all-1,kəll,all,False,expert,Ratcliffe2021,,,
CypriotArabic-1_all-1-1,CypriotArabic-1_all-1,kull,all,False,expert,Ratcliffe2021,,,
GulfArabic-1_all-1-1,GulfArabic-1_all-1,kil,all,False,expert,Ratcliffe2021,,,
YemeniticArabic-1_all-1-1,YemeniticArabic-1_all-1,kull,all,False,expert,Ratcliffe2021,,,
Buxari-1_all-1-1,Buxari-1_all-1,kullu,all,False,expert,Ratcliffe2021,,,
Kinubi-1_all-1-1,Kinubi-1_all-1,kulu,all,False,expert,Ratcliffe2021,,,
MoroccanArabic-2_ash-1-1,MoroccanArabic-2_ash-1,rˁm_adˁ,ash,False,expert,Ratcliffe2021,,,
Maltese-2_ash-1-1,Maltese-2_ash-1,rmi:_d,ash,False,expert,Ratcliffe2021,,,
Cairene-2_ash-1-1,Cairene-2_ash-1,ram_a:dˁ_*,ash,False,expert,Ratcliffe2021,,,
Damascene-2_ash-1-1,Damascene-2_ash-1,rama_:d,ash,False,expert,Ratcliffe2021,,,
Iraqi-2_ash-1-1,Iraqi-2_ash-1,ruma_:d,ash,False,expert,Ratcliffe2021,,,
AqraArbilArabic-2_ash-1-1,AqraArbilArabic-2_ash-1,rˁam_a:d,ash,False,expert,Ratcliffe2021,,,
CypriotArabic-2_ash-1-1,CypriotArabic-2_ash-1,rama_t_r-m-_d,ash,False,expert,Ratcliffe2021,,,
GulfArabic-2_ash-1-1,GulfArabic-2_ash-1,rama_ad,ash,False,expert,Ratcliffe2021,,,
Buxari-2_ash-1-1,Buxari-2_ash-1,ra’matt,ash,False,expert,Ratcliffe2021,,,
Kinubi-2_ash-1-1,Kinubi-2_ash-1,ruman,ash,False,expert,Ratcliffe2021,,,
MoroccanArabic-3_bark-1-1,MoroccanArabic-3_bark-1,qeʃ_rˁa,bark,False,expert,Ratcliffe2021,,,
Maltese-3_bark-1-1,Maltese-3_bark-1,ʔoʃr_a,bark,False,expert,Ratcliffe2021,,,
Cairene-3_bark-1-1,Cairene-3_bark-1,ʔiʃr*,bark,False,expert,Ratcliffe2021,,,
Iraqi-3_bark-1-1,Iraqi-3_bark-1,giʃra,bark,False,expert,Ratcliffe2021,,,
