Cognate_ID	Kagazli1	Kagazli2	Kagazli3	Kagazli4	Kagazli5	Kagazli6	Kagazli7	Karaushan1	Karaushan2	Karaushan3	Karaushan4	Kiakmuz1	Kiakmuz2	Kiakmuz3	Kibarskoon	Kikulanak1	Kikulanak2	Kikulanak3	Kikulanak4	Kikulanak5	Kiorday1	Kiorday2	Kiorday3	Kiorday4	Kitamga	Kkhalqabad1	Kkhalqabad2	Kkhalqabad3	Kkkokdarya1	Kkkokdarya2	Kkkokdarya3	Kkkokdarya4	Kkshege1	Kkshege2	Kkshege3	Kkshege4	Tagalyk	Tkamangaron1	Tkamangaron2	Tkamangaron3	Tkamangaron4	Tkaptarhona1	Tkaptarhona2	Tkaptarhona3	Tkaptarhona4	Tkaptarhona5	Tnavdi1	Tnavdi2	Tnavdi3	Tnimich1	Tnimich2	Tnimich3	Tnimich4	Tnovmetan1	Tnovmetan2	Tnushor1	Tnushor2	Tnushor3	Trishtan1	Trishtan2	Trishtan3	Tshink1	Tshink2	Tshink3	Turmetan1	Turmetan2	Turmetan3	Turmetan4	Tzarmanak1	Tzarmanak2	Uhitoy1	Uhitoy2	Uhitoy3	Unovmetan3	Usoymahalla1	Usoymahalla2	Usoymahalla3	Uurtoqqishloq1	Uurtoqqishloq2	Uurtoqqishloq3	Uurtoqqishloq4	Uzarmanak3	Uzarmanak4	Ydugova1	Ydugova2	Ysafedorak1	Ysafedorak2	Ysafedorak3
animal	ʒ a n w a r	h a j β ɔ n	m a w	ʒ a n w a r	ʒ a n w a r	m a l	h a j v o n	ʒ a n ɨ β a r	ʒ a n β a r	h a j w a n	h a j w a n	m a l	a j v a n	m a l	dʒ a n ɨ β a r	m a l	dʒ a n ɨ β a r	a j β a n	m a l	dʒ a n ɨ β a r	ʒ a n ɨ β a r	h a j β a n	a j β a n	h a j β a n	a j v a n	h a j w ɒ n	h a j w ɒ n	h a j w ɒ n	h a j w ɔ n	h a j w ɒ n	h a j w ɒ n	h a j w ɒ n	h a j w a n	h a j w ɔ n	h a j w a n	h a j w a n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ʊ n	h a j v ʊ n	h a j w o n	h a j v ɔ n	h a j v u n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j β ɔ n	h a j v ɔ n	h a j v ɔ n	h a j w ɔ n	h a j v ɔ n	z i n d e n e	h a j β ɔ n	h a j v ɔ n	h a j v ɔ n	h a j w ɔ n	h a j β ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ̃ n	h a j v ɔ n	h a j v ɔ n	h a j w ɔ n	h a j w a n	h a j v ɔ n	h a j v ɔ n	h a j β ɔ n	h a j v ɔ n	h a j w ɔ n	h a j w ɔ n	h a j v ɔ n	h a j w ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v ɔ n	h a j v o n	h a j v ɔ n	h a j v ʊ n
ashes	k ʉ l	k ʉ l	k ʉ l	k ʉ ɬ	k ʉ ɬ	k ʉ ɬ		k ʉ l	k ʉ l	k ʉ l	k ʉ l	k y l	k y l	g y l	g ʉ l	k y l	g y l	g y l	k y l	g y l	k y l	k y l	k y l	k y l	g ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	k ʉ l	x ɔ k i ʃ t a r	x ɔ k i s t a r	x ɔ k i s t a r		x ɔ k i s t a r	x ɔ k s t a r	x o k i s t a r	x o k i s t a r	x o k s t a r	x ɔ k s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	k u l		x ɔ k ɪ s t a r		x ɔ k ɪ s t a r	x ɔ k i s t a r	x ɔ k i s t a r	x ɔ k i s t a r	x ɔ k i s t a r	x ɔ k i s t a r	x ɔ k i s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k i s t a r	x ɔ k i s t a r	k ʉ l	k ʉ l	k ʉ l	k u l	pʲ e pʲ ɛ l	k ʉ l	k ʉ l	k ʉ ɬ	k ʉ ɬ	k ʉ ɬ	k ʉ ɬ	k u l	k u l	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	x ɔ k ɪ s t a r	
autumn	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	g y z̥	g y z̥	g y z̥	k ʉ z̥	k y z̥	g y z̥	g y z̥	g y z̥	g y z̥	g y z̥	k y z̥	k y z̥	k y z̥	g ʉ z̥	g ʉ z̥	g ʉ z̥	g ʉ z̥	k ʉ z̥	g ʉ z̥	k ʉ z̥	g ʉ z̥	g ʉ z̥	k ʉ z̥	g ʉ z̥	g ʉ z̥												t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ	t r a m ɔ	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h				t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h	t i r a m ɔ h		t i r a m ɔ	t i r a m ɔ	k ʉ z̥	k ʉ z̥	k ʉ z̥	k u z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k ʉ z̥	k u z̥	k ʊ z	t i r a m ɔ h	t i r m ɔ	t i r m a	t i r m a	
back	a r q a	a r q a	ʒ a w r n	bʲ ɪ l	a r q a	a r q a	a r q a	a r χ a	a r χ a	a r q a	a r q a	bʲ e l	d ɒ l ɨ	bʲ e l	d a l ɨ	a r q a	bʲ e l	bʲ e l	d a l ɨ	d a l ɨ	bʲ e l	bʲ ɪ l		k y l ø k	d a l ɨ	a r q a	a r q a	ʒ a w ɔ r ɨ n	dʒ a w ɔ r ə n	a r q a	a r q a	a r χ a	ʒ a w ɔ r ə n	a r χ a	a r q a	a r q a	p u ʃ t	t a x t a p y s t	m i j ɔ n		t a x t a p u ʃ t	m i j u n	m i j u n	m i j ɔ n	m i j ɔ n	m i j u n	m i j u n	p u ʃ t	m i j ʊ n	p u ʃ t	p u ʃ t	p u ʃ t	p ə ʃ t	m i j ɔ n	p u ʃ t	p u ʃ t	p u ʃ t	m i j ʊ n	m i j ɔ n	m i j ɔ n	t a x t a p y ʃ t	p ɪ ʃ t	p ʉ ʃ t	p ʉ ʃ t	t a x t a p u ʃ t	m i j ɔ n			p u ʃ t	t a x t a p y ʃ t	a r χ a	a r q a	a r q a	bʲ e l	bʲ e l	bʲ e l	bʲ e l	bʲ e l	bʲ e l	bʲ ɪ l	bʲ e l	bʲ ɛ l	ɔ r q a	a r q a	a r q a	a r χ a	a r q a	a r q a
bad	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	dʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ a m a n	ʒ̊ a m a n	ʒ a m a n	b a d̥	b a d	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	b a d̥	g a n d a	b e z e b	g a n d a	b a d	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g æ n d æ	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	g a n d a	b a d̥	g a n d a	g a n d a	g a n d a	dʒ a m a n	dʒ a m a n	dʒ a m a n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ n	j ɔ m ɔ̃ n	g a n d a	b e k o r a	g a n d a	g a n d a	
bark		q a b ɜ q			q a b ɜ q	q a b ɜ q		q a β ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	b u t a q	q a β ɨ q	q a β ʊ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	p u s t l ɔ q	q ɒ β ɔ q	q a b ɨ q	p ʊ s t l ɔ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	q a b ɨ q	q a β ʊ q	q a b ɨ q	q a β ɨ q	q a b ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	q a β ɨ q	p u s t l ɔ q	p ø s t	p ø s t l ɒ q		p ø s t l ɔ q	p u s l ɒ q	p u s l ɔ q		p u s t l ɒ q	p u s t l ɒ q	p u s t	p u s t l ɔ q	p u s t l ɔ q	p u s t	p u s t	p u s t	p u s t l ɔ q	p ʉ s t l ɔ q	p ʉ s t l ɔ q	p u s t l ɔ q	p u s t	p u s t	p u s t l ɔ q	p u s t l ɔ q	p u s t l ɔ q	p ʊ s t	p u s t	p ʊ s t l ɔ q	p u s t	p u s t	p u s t	p u s l ɔ q	p ʉ s t l ɔ q	p ʉ s t	q a β ɨ q	q a b ɨ q	q a β ɨ q	p ʉ s t l ɔ q	q ɔ b ə q	p ʊ s t l ɒ q		p u s t l ɔ q	p u s t	p ʊ s t	q a b ɜ q	p u s t l ɔ q	p ʉ s t l ɔ q	p ʊ s t	p ʊ s t	p u s t	p ʊ s t	p ʊ s t
belly	q a r ɨ n	q a r ɨ n	q a r ə n	q a r ɨ n	q a r ɨ n	q a r ɨ n	q a r ə n	q a r ɨ n	q a r ɨ n	q a r ɨ n	q a r ɨ n	i tʃʲ	i tʃʲ	i tʃʲ	i tʃʲ	i tʃʲ	q u r s a q	i tʃʲ	i tʃʲ	i tʃʲ	k u r s a k	q ɔ r ɨ n	q ɔ r ɨ n	a ʃ k a z a n	i tʃʲ	q a r ɨ n	a s ɣ a z a n	a s x a z a n	q a r ɨ n	q a r ɨ n	q a r ɨ n	q a r ɨ n	q a r ə n	q a r ɨ n	q a r ɨ n	q a r ɨ n	i ʃ k a m	ʃ k a m	i ʃ k a m	i ʃ k a m		ʃ k a m	ʃ k a m	ʃ k a m	ʃ k a m	ʃ k a m	ʃ ɪ k a m	ʃ ɪ k a m	ʃ i k a m	ʃ i k a m	ʃ i k a m	ʃ k a m	ʃ k a m	i ʃ k a m	i ʃ k a m	i ʃ k a m	ʃ i k a m	ʃ k a m	i ʃ k a m	i ʃ k a m	i ʃ k a m	i ʃ k a m	i ʃ k a m	ʃ k a m	i ʃ k a m	ʃ k a m	ʃ k a m	i ʃ k a m	i ʃ k a m	i ʃ k a m	q a r ɨ n	q a r ə n	q a r ə n	q ɔ r ə n	q ɔ r ə n	q ɔ r ə n	q ɔ r ə n	q ɔ r ə n	q ɔ r ɨ n	q ɔ r ɪ n	q ɔ r ɨ n	q ɔ r ɨ n	q ɔ r ə n	d a r a	d a r a	d a r a	d a r a	d a r a
big	ʉ l k ɪ n	ʉ l k ɪ n	ʉ l k e n	ʉ l k e n	y l k e n	ʉ l k e n	ʉ l k e n	ʉ l k ɛ n	ʉ l k ɛ n	ʉ l k ə n	ʉ l k e n	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	k a tː a	tʃ ɔ ŋ	tʃ ɔ ŋ	tʃ ɔ ŋ	ʉ l k e n	ʉ l k e n	ʉ l k ø n	ʉ l g ə n	ʉ l k e n	k a tː a	ʉ l k e n	ʉ l k ə n	ʉ l k ə n	ʉ l k e n	ʉ l kʲ e n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ̃ n	k a tː a	k a tː a	k a tː a	k a tː a	k a tː a	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	b i s j ɔ r	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	k a l ɔ n	b i s j ɔ r	k a l ɔ n	k a l ɔ n	ʉ l k ə n	ʉ l k e n	ʉ l k ɛ n	q a p t a	k a tː a	k a tː a	k a tː a	k a tː a	k a tː a	k a tː a	k a tː a	q a p t a	q a p t a	k a l ɔ n	k a tː a	k a tː a	k a tː a	k a tː a
bird	q ʊ s	q ʊ s	q ʊ s	q ʉ s	q ʊ s	q ʊ s	q ʊ s	k ʉ s	q ʊ s	k ʊ s	k ʊ s	tʃ i m tʃ i q	k u ʃ	q a n a tː ø	q a n a tː uː	k u ʃ	tʃ i m tʃ i k	dʒ i m tʃ i q	tʃ i m tʃ i k	dʒ i m tʃ i k	k u ʃ	k u ʃ	k u ʃ	k u ʃ	tʃ i m tʃ i k	q ʊ s	q ʊ s	q ʊ s	k u s	k u s	k u ʃ	k u s	q ʊ s	q ʊ s	q ʊ s	q ʊ s	p a r a n d a	p a r a n d a n	p a r ə n d a	m u r ɣ̊	k u ʃ	p a r a n d a	p a r a n d a	k u ʃ	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	m u r ə ɣ̊	g u n d i ʃ k	m ʊ r ɣ̊	p a r a n d a	p a r a n d a	p a r a n d a	tʃ ɪ m tʃ ɪ k	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a	p a r a n d a		p a r a n d a	tʃ u m tʃ u q	k ʊ ʃ	q ʉ ʃ	q ʉ s	k u ʃ	p a r a n d a	p a r a n d a	k u ʃ	k ʊ ʃ	k ʊ ʃ	k ʊ ʃ	k ʊ ʃ	k u ʃ	k u ʃ	s i tʃ a	s i tʃ a	s i tʃ a	s i tʃ a	s i tʃ a
black	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q ɒ r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q a r a	q ɔ r a	q ɒ r a	q ɒ r a	q ɒ r a	q a r a	q a r a	q a r a	q a r a	q a r a	q ɒ r a	q ɒ r a	q ɒ r a	q a r a	q a r a	q a r a	q a r a	s i j ɔ h	s i j ɔ	s i j ɒ	s i j ɔ h	s i j ɔ	s i j a	s i j ɔ h	s i j ɒ	s i j ɒ	s i j ɒ	s i j ɔ h	s i j ɔ h	s i j ɔ h	s i j ɔ h	s i j ɔ	s i j a h	s i j ɔ h	s i j ɔ	s i j ɔ	s i j ɔ h	s i j ɔ h	s i j ɔ h	s i j ɔ	s i j ɔ	s i j ɔ h	s i j ɔ	s i j ɔ	s i j ɔ	s i j ɔ h	s i j ɔ h	s i j ɔ h	s i j ɔ h	s i j ɔ	s i j ɔˑ	q a r a	q a r a	q a r a	q o r a	q ɔ r a	q ɔ r a	q ɔ r a	q ɔ r a	q ɔ r a	q ɔ r a	q ɔ r a	q ɔ r a	q o r a	s i j ɔ	s i j ɔ h	ʃ ɔ w	ʃ ɔ w	
